station_code,total_packages,latitude,longitude
DMG2,261,-19.888592171693176,-44.024605838269
XPB1,261,-7.209550976556512,-35.91454343538741
DBR9,261,-23.484933043968955,-46.84102854567459
DSP5,260,-22.92218228491936,-47.10233348178829
DCE3,260,-3.900281936302222,-38.68530206078393
DBH5,365,-19.94519159249855,-44.004576625235586
DCE3,257,-3.7454379590576625,-38.57874784915485
DBS5,256,-15.628685857231112,-47.65435464990231
DSA8,256,-12.930568909152857,-38.41875876175241
DBH5,386,-19.91462163847039,-43.89682067249379
DCE3,255,-3.879376429628756,-38.476405856492505
DSP4,255,-23.711472902056823,-46.59068095920518
DMG2,255,-19.80016760150806,-43.979665898597155
DRS5,255,-30.135955539343367,-51.219388470431404
DGO2,254,-16.668735466617008,-49.222353365663366
DRS5,254,-30.11662946265113,-51.21860333299018
DPE4,253,-8.025602093386317,-34.967619433914706
DSP4,252,-23.64716874774093,-46.5887863778758
XGA2,251,-16.328193313139362,-48.93868121234195
XRJ2,251,-22.88175790933112,-43.130800342294265
DSA8,250,-12.872166012582932,-38.312342443527506
DPB3,250,-7.131101217598513,-34.814207750648535
DSP5,250,-23.11013240080727,-47.23623974703019
DPB3,248,-7.023557088836604,-34.83390768671145
DRJ3,247,-22.845534656992548,-43.280534541190576
DPR2,247,-25.403491918282807,-49.2952912588608
DMG2,247,-19.876777316433426,-44.04571917572654
DSP5,247,-22.934026949647535,-47.08131158731401
DRS5,247,-29.849005894438523,-51.16518273180618
DPE4,247,-8.025514916672753,-35.009096301122696
DBS5,247,-15.865393294261473,-48.04075309973341
DBS5,246,-15.87399901864419,-48.10423132224262
DSA8,243,-12.953916875849329,-38.46133716211444
DSA8,243,-12.930965127065365,-38.33431202024447
DES2,243,-20.31390474140788,-40.34940736490662
DBR9,242,-23.461741986748997,-46.64760061452767
XBA1,241,-12.242972407524217,-38.915165419424476
DES2,240,-20.180539349636902,-40.26127983487169
DSP5,240,-23.069122280315884,-47.19225192988757
DRS5,240,-29.6970344790709,-51.116485456159026
