station_code,slot_id,capacity_s,lat,lon
DRJ3,DRJ3_T01_S09,42,-22.89919229211966,-43.1803936326158
DRJ3,DRJ3_T01_S10,42,-22.90554243430387,-43.17439760490264
DRJ3,DRJ3_T01_S11,42,-22.902293529146164,-43.18046755037104
DRJ3,DRJ3_T01_S12,42,-22.811570541773353,-43.20903865764877
DRJ3,DRJ3_T01_S13,42,-22.908643451972136,-43.17447149437232
DRJ3,DRJ3_T01_S14,42,-22.816301457502504,-43.20607829453251
DRJ3,DRJ3_T01_S15,42,-22.91026772337799,-43.171436474415025
DRJ3,DRJ3_T01_S16,42,-22.90982401209815,-43.18986815695084
DRJ3,DRJ3_T01_S17,42,-22.808466091894118,-43.208964612200084
DRJ3,DRJ3_T01_S18,42,-22.808614922028625,-43.20282181388116
DRJ3,DRJ3_T01_S19,42,-22.803883649683677,-43.20578217214892
DRJ3,DRJ3_T01_S20,42,-22.90377012844728,-43.18357642332806
DRJ3,DRJ3_T01_S21,42,-22.79944947487309,-43.196457032634854
DRJ3,DRJ3_T01_S22,42,-22.817927950163224,-43.203043863269336
DRJ3,DRJ3_T01_S23,42,-22.90819939294655,-43.19290308930693
DRJ3,DRJ3_T01_S24,42,-22.80536153070447,-43.208890567471784
DRJ3,DRJ3_T01_S25,42,-22.810686225258273,-43.18135874697824
DRJ3,DRJ3_T01_S26,42,-22.808763517204184,-43.19667898641937
DRJ3,DRJ3_T01_S27,42,-22.823398554855167,-43.1693682470955
DRJ3,DRJ3_T01_S28,42,-22.796195992888226,-43.202525758111825
DRJ3,DRJ3_T01_S29,42,-22.799152074442976,-43.208742480176284
DRJ3,DRJ3_T01_S30,42,-22.813345891403568,-43.199861405387516
DRJ3,DRJ3_T01_S31,42,-22.816152499459182,-43.21222115249037
DRJ3,DRJ3_T01_S32,42,-22.900816840962193,-43.17735868529577
DRJ3,DRJ3_T01_S33,42,-22.81349437527482,-43.193718518843475
DRJ3,DRJ3_T01_S34,42,-22.79811946779049,-43.18720590141746
DRJ3,DRJ3_T01_S35,42,-22.813048218658206,-43.2121470911086
DRJ3,DRJ3_T01_S36,42,-22.89579470064131,-43.19260717907998
DRJ3,DRJ3_T01_S37,42,-22.812016339689794,-43.1906100862802
DRJ3,DRJ3_T01_S38,42,-22.86875896355164,-43.219623639830814
DRJ3,DRJ3_T01_S39,42,-22.813790637979892,-43.181432659093495
DRJ3,DRJ3_T01_S40,42,-22.80137231923231,-43.18113701494753
DRJ3,DRJ3_T01_S41,42,-22.81497232222256,-43.19682695920827
DRJ3,DRJ3_T01_S42,42,-22.799300892096642,-43.20259977097402
DRJ3,DRJ3_T01_S43,42,-22.909972151727118,-43.18372429143879
DRJ3,DRJ3_T01_S44,42,-22.79220516222713,-43.17477252446569
DRJ3,DRJ3_T02_S01,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S02,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S03,42,-22.88983200330994,-43.30925761402353
