nome,endereco,lat,lon,DS
Emporium Store - Assistência em Informática e celulares,"Av. Pres. Afonso Pena, 745 - Sala 1 - Bessa, João Pessoa - PB",-7.0671429,-34.8398714,DPB3
Brasil Gás,"Av. Eutiquiano Barreto, 964 - Manaíra, João Pessoa - PB",-7.1071792,-34.8395181,DPB3
Bella Terra Pizzaria,"R. Pres. Washington Luís, 70 - Bessa, João Pessoa - PB",-7.062413,-34.842305,DPB3
"Anggetec Climatização e Refrigeração - assistência autorizada Gree, Agratto, Elgin, TCL","Av. Mar de Behring, 452 - Intermares, Cabedelo - PB",-7.0453604,-34.8467541,DPB3
Gás de Cozinha João Pessoa Bem Gás Disk Gás,"Av. Cap. João Freire, 644 - Expedicionários, João Pessoa - PB",-7.1241289,-34.8528965,DPB3
Delicias da Dai,"BR-230, Km 9 - Amazonia Park, Cabedelo - PB",-7.0447778,-34.8479769,DPB3
Oficina de carros 24 horas,"R. Pref. Joaquim Pessoa, Galpão 56 - Jardim America, Cabedelo - PB",-7.066707,-34.8497488,DPB3
Disk Agua Cabo Branco,"R. José Maria Uchôa de Andrade, 29 - Altiplano Cabo Branco, João Pessoa - PB",-7.1352733,-34.8320132,DPB3
Cosmo Lanches,"Av. Pres. Venceslau Braz, 192-220 - Jardim Beta, Cabedelo - PB",-7.0689582,-34.8497476,DPB3
JR PAPELARIA E CONSERTO DE CELULAR,"Av. Pres. Nilo Peçanha, 241 - Bessa, João Pessoa - PB",-7.0676262,-34.8418974,DPB3
Disk Água JC - Manaíra,"R. Aluísio França, 283 - Manaíra, João Pessoa - PB",-7.1080749,-34.8273342,DPB3
Mundial lanches bessa,"Av. Arthur Monteiro de Paiva, 425 - Bessa, João Pessoa - PB",-7.0648394,-34.8404289,DPB3
CSI PARAIBANA Comercio de Peças e Acessórios eletrônica,"R. Pres. Washington Luís, 647 - Loja 102 - Bessa, João Pessoa - PB",-7.0639911,-34.8472143,DPB3
Josinaldo Gás e Água,"R. Geraldo Costa, 64 - Manaíra, João Pessoa - PB",-7.1080026,-34.8269072,DPB3
Cscar Eletrônica e Mecânica Automotiva,"Rua Presidente Arthur Bernardes - Jardim America, Cabedelo - PB",-7.0656509,-34.8491729,DPB3
Divino Sabor Açaiteria - Lanchonete e Self service de Açaí,"Av. Nego, 99 - Sala 01 - Tambaú, João Pessoa - PB",-7.1145743,-34.8234476,DPB3
Glacial Açaiteria,"R. Josenildo José da Silva, 82 - Bairro dos Ipês, João Pessoa - PB",-7.0990092,-34.8542168,DPB3
CONSERTSMART - Assistência,"Av. Monteiro da Franca, 1262 - Manaíra, João Pessoa - PB",-7.1005345,-34.8377296,DPB3
CHAVEIRO TAMBAÚ JOÃO PESSOA,"Av. Sen. Ruy Carneiro, S/N - Tambaú, João Pessoa - PB",-7.1105974,-34.824784,DPB3
Eletrosan Assistência Técnica,"Av. Gov. Flávio Ribeiro Coutinho, 1027 - Sala 1 - Manaíra, João Pessoa - PB",-7.0979159,-34.8425107,DPB3
Disck Água e Gás Express,"R. Paulino Pinto, 527 - Tambaú, João Pessoa - PB",-7.1178353,-34.8300232,DPB3
Chaveiro Inovação - Chaves e Carimbos,"Av. Sen. Ruy Carneiro, 648 - Miramar, João Pessoa - PB",-7.1123851,-34.8289343,DPB3
TECNOUP INFORMÁTICA E ASSISTÊNCIA TÉCNICA ESPECIALIZADA,"R. Joaquim Pires Ferreira, 220 - Sala 102 - Estados, João Pessoa - PB",-7.1097714,-34.8557365,DPB3
Piaho Gás e Água Mineral,"Av. Dom Manoel Paiva, 138 - Mandacaru, João Pessoa - PB",-7.109822,-34.858425,DPB3
Resolve Tech - Assistência Técnica de Celulares e Informática e Venda de Aparelhos Apple,"R. Edson Falconi de Melo, 555 - Aeroclube, João Pessoa - PB",-7.0881367,-34.8470722,DPB3
Arlete Gás e Água,"Av. Pombal, 896 - Manaíra, João Pessoa - PB",-7.1048345,-34.8334699,DPB3
Tech Reparos,"Av. Sergipe, 492 - sala 102 - Estados, João Pessoa - PB",-7.1121033,-34.8551907,DPB3
Eldorado Eletrônica,"Av. Maria Rosa, 850 - Loja 03 - Manaíra, João Pessoa - PB",-7.1124109,-34.8325755,DPB3
iCare - Assistência e Acessórios,"Av. Gov. Flávio Ribeiro Coutinho, 115 - Box 16 - Manaíra, João Pessoa - PB",-7.0975715,-34.8340447,DPB3
